"subject","room_condition","target_distance","block","perc_dist_sd","perc_dist_sem","perc_dist_var","perc_dist_n","perc_dist","rel_bias_signed_sd","rel_bias_signed_sem","rel_bias_signed_var","rel_bias_signed_n","rel_bias_signed","rel_bias_unsigned_sd","rel_bias_unsigned_sem","rel_bias_unsigned_var","rel_bias_unsigned_n","rel_bias_unsigned","abs_bias_sd","abs_bias_sem","abs_bias_var","abs_bias_n","log_bias_sd","log_bias_sem","log_bias_var","log_bias_n","log_bias_m","log_bias_unsigned_sd","log_bias_unsigned_sem","log_bias_unsigned_var","log_bias_unsigned_n","log_bias_unsigned_m","experiment"
4,"Small VE",2.7,1,2.49349152795834,1.4396180048888,6.2175,3,2.35,0.92351538072531,0.533191853662517,0.852880658436214,3,-0.12962962962963,0.385048646265449,0.222307939572458,0.148262459990855,3,0.697530864197531,1.03963134491671,0.600231436845637,1.08083333333333,3,1.05869042266973,0.611235200516847,1.12082541105261,3,-0.531707096046981,0.887979206307402,0.512675033796369,0.788507070834323,3,0.710111256165002,"1"
6,"Small VE",2.7,1,0.763762615825973,0.440958551844098,0.583333333333333,3,1.16666666666667,0.282875042898509,0.163317982164481,0.0800182898948331,3,-0.567901234567901,0.282875042898509,0.163317982164481,0.0800182898948331,3,0.567901234567901,0.763762615825973,0.440958551844098,0.583333333333333,3,0.301029995663981,0.173799749030751,0.0906190582894565,3,-0.431363764158987,0.301029995663981,0.173799749030751,0.0906190582894565,3,0.431363764158987,"1"
8,"Small VE",2.7,1,0.529150262212918,0.305505046330389,0.28,3,2.4,0.195981578597377,0.113150017159403,0.0384087791495199,3,-0.111111111111111,0.0740740740740741,0.042766686606639,0.00548696844993142,3,0.185185185185185,0.2,0.115470053837925,0.0400000000000001,3,0.0920735138448543,0.0531586680035613,0.00847753195173857,3,-0.057839120423704,0.0422912990635302,0.0244168928987081,0.00178855397648095,3,0.0883441141308207,"1"
10,"Small VE",2.7,1,0.288675134594813,0.166666666666667,0.0833333333333333,3,1.16666666666667,0.106916716516597,0.0617283950617284,0.0114311842706904,3,-0.567901234567901,0.106916716516597,0.0617283950617284,0.0114311842706904,3,0.567901234567901,0.288675134594813,0.166666666666667,0.0833333333333333,3,0.101666335817738,0.0586970863518938,0.010336043838605,3,-0.372666677807094,0.101666335817738,0.0586970863518938,0.010336043838605,3,0.372666677807094,"1"
13,"Small VE",2.7,1,0,0,0,3,1,0,0,0,3,-0.62962962962963,0,0,0,3,0.62962962962963,0,0,0,3,0,0,0,3,-0.431363764158987,0,0,0,3,0.431363764158987,"1"
15,"Small VE",2.7,1,0.3685557397916,0.212785755580062,0.135833333333333,3,0.583333333333333,0.136502125848741,0.0788095391037266,0.0186328303612254,3,-0.783950617283951,0.136502125848741,0.0788095391037266,0.0186328303612254,3,0.783950617283951,0.3685557397916,0.212785755580062,0.135833333333333,3,0.266042563757434,0.153599745801253,0.0707786457306285,3,-0.721252507993985,0.266042563757434,0.153599745801253,0.0707786457306285,3,0.721252507993985,"1"
17,"Small VE",2.7,1,0,0,0,3,0.5,0,0,0,3,-0.814814814814815,0,0,0,3,0.814814814814815,0,0,0,3,0,0,0,3,-0.732393759822969,0,0,0,3,0.732393759822969,"1"
19,"Small VE",2.7,1,0.0577350269189626,0.0333333333333333,0.00333333333333334,3,0.333333333333333,0.0213833433033195,0.0123456790123457,0.000457247370827619,3,-0.876543209876543,0.0213833433033195,0.0123456790123457,0.000457247370827619,3,0.876543209876543,0.0577350269189626,0.0333333333333334,0.00333333333333334,3,0.0721334132130137,0.0416462455361,0.00520322930175938,3,-0.912596263903225,0.0721334132130137,0.0416462455361,0.00520322930175938,3,0.912596263903225,"1"
21,"Small VE",2.7,1,1.60727512683216,0.927960727138337,2.58333333333333,3,3.16666666666667,0.595287084011911,0.343689158199384,0.354366712391404,3,0.172839506172839,0.40628352276307,0.234567901234568,0.16506630086877,3,0.395061728395062,1.09696551146029,0.633333333333333,1.20333333333333,3,0.207511790593763,0.119806988159331,0.0430611432354299,3,0.0346162387316919,0.117669536016857,0.0679365382947508,0.0138461197064224,3,0.143787921386329,"1"
23,"Small VE",2.7,1,4.04145188432738,2.33333333333333,16.3333333333333,3,5.33333333333333,1.49683403123236,0.864197530864197,2.24051211705533,3,0.975308641975308,1.49683403123236,0.864197530864197,2.24051211705533,3,0.975308641975308,4.04145188432738,2.33333333333333,16.3333333333333,3,0.301884184341137,0.174292915093446,0.0911340607553134,3,0.220050405654121,0.301884184341137,0.174292915093446,0.0911340607553134,3,0.220050405654121,"1"
25,"Small VE",2.7,1,1,0.577350269189626,1,3,1.5,0.37037037037037,0.213833433033195,0.137174211248285,3,-0.444444444444444,0.37037037037037,0.213833433033195,0.137174211248285,3,0.444444444444444,1,0.577350269189626,1,3,0.357169573725866,0.206211949536972,0.127570104395517,3,-0.340363340137741,0.357169573725866,0.206211949536972,0.127570104395517,3,0.340363340137741,"1"
